mincan_id,namemine,town,province,latitude,longitude,commodityall,information,mine_status,operation_periods,main_id
QC-MINCAN-a8c87336,,,Quebec,45.263786,-72.331764,"Copper, Gold, Silver",,Inactive,1866–1958,
BC-MINCAN-16652987,Spruce Creek,Atlin,British Columbia,59.38272,-133.27033,Gold,,Inactive,1909–1950; 1955–1989,
BC-MINCAN-d675705f,Wesfrob (Tasu),Moresby Island ,British Columbia,52.75834,-132.05,"Iron, Copper",,Inactive,1914–1983,
NS-MINCAN-ca20ef49,,,Nova Scotia,45.5502192021,-62.5667798111,Coal,The currently entered coordinates are for the museum (see link attached),Inactive,1918–1966,
QC-MINCAN-d1e8b6b1,Horne,Noranda ,Quebec,48.25427,-79.01128,"Copper, Gold, Silver, Selenium, Tellurium, Pyrite ","Alternative names: Horne Mine (1975) The mine is named after prospector Edmund Horne who first staked the property in 1920. The property was optioned in 1922 to a syndicate that discovered a major copper-gold deposit and grew to become Noranda Mines Limited, later Noranda Inc., one of the world's premier mining and metals companies. The deposit in Precambrian Keewatin-type volcanic rocks is a classic example of a volcanogenic massive sulfide (VMS) deposit. The Horne mine exploited two major ore bodies called the Upper H and the Lower H. The ore averaged 2.22% Cu, 6.1 g/t Au and 13 g/t Ag. The mine closed in 1976,having produced 53.7 million tons of ore and recovering 260t of gold (11.6 million ounces) and 1.13Mt of copper. The Horne copper smelter built on the mine site in 1927 is still in operation. Mineral rights are currently (2015) owned by Falco Resources Ltd which is examining the feasibility of mining the Horne 5 copper-gold deposit below the old Horne mine workings.",Inactive,1927–1976,QC-MAIN-30c1828c
MB-MINCAN-aa9e8f78,Amaranth,Amaranth (Gypsumville),Manitoba,50.57638888888889,-98.73333333333332,Gypsum,,Inactive,1930–1964,
ON-MINCAN-6beb5f81,,Amherstburg,Ontario,42.0953894254532,-83.0876189665771,Salt,,Inactive,1936–2001,
ON-MINCAN-ccf2bf99,Haley,Haley ,Ontario,45.59888,-76.75171,Magnesium,,Active,1942–open,
BC-MINCAN-348cf0a2,Jersey Emerald,Salmo ,British Columbia,49.09861,-117.22111,"Lead, Zinc, Silver, Cadmium, Tungsten, Molybdenum, Gold, Bismuth",Bismuth,Inactive,1944–1970,
ON-MINCAN-d7542f2e,"Gersdorffite, AER, and  Kidd Copper or  Howland Pit",Worthington ,Ontario,46.39465,-81.43186,Nickel,The mine was also in operation from 1928 to 1939.,Inactive,1946–1958; 1965–1968; 1965–1968,
YT-MINCAN-d08b4ec8,,Galkeno Mine (MacLeod Mine),Yukon,63.92692,-135.36625,"Silver, Lead, Zinc, Cadmium","In 1946, Keno Hill Mines Ltd produced 50 tonnes of ore from the Galkeno mine. In 1948, Yukon Galena Mines Limited produced 36 tonnes. From 1953 to 1955, Makeno Mines Ltd produced 57,856 tonnes of ore. From 1956 to 1957, Galkeno Mines Ltd produced 47,015 tonnes and from 1959 to 1966, and again from 1978 to 1980, United Keno Hill Mines Ltd produced  26,382 tonnes of ore. Total production from the mine was 167,063 tonnes at a grade of 932.57 g/t silver (27.2 oz/t), 5.22% lead and 2.69% zinc to produce 141,338,613 grams of silver (4,544,142 oz), 7,909,476 kg of lead, 8,999,204 kg of zinc and 39,146 kg of cadmium. ////// closed between 2019 and 2020",Inactive,1946–1966; 1978–1980,
QC-MINCAN-ce6cfa6b,Donalda (Keralda),Rouyn-Noranda,Quebec,48.262661,-78.98609,"Gold, Copper, Zinc, Lead, Silver",,Inactive,1948–1956; 1970–1971; 1994–1995,
NB-MINCAN-de7ea077,,Minto ,New Brunswick,46.128611,-66.081944,Coal,,Inactive,1950–1971,
NB-MINCAN-63ccd128,Stratmat (Halfmile),,New Brunswick,47.30527778,-66.32,"Zinc, Lead, Copper, Gold, Silver",indigenous participation,Active,1951–open,
BC-MINCAN-3300fc60,Mountainrals Division,Brisco ,British Columbia,50.829721,-116.33055,Barite,"During the Second World War, barite was mined for use as ship ballast. After the war another use was found as an addition to mud for oil drilling. It was also used as a base for paint, and for the detection of ulcers under x-ray. In 1959, 9,320 tons of barite was crushed near the quarry and shipped for processing at Lethbridge. It was hard to quarry because of the way the faults ran, as well as the swelling and pinching of the barite ore body. As a result, the size of the quarry was restricted.",Inactive,1952–1977,
BC-MINCAN-e99e3800,,Cassiar ,British Columbia,59.324999,-129.81805,"Asbestos, Chrysotile, Jade/Nephrite, Gemstones, Magnesium",legal case,Inactive,1952–1998,
AB-MINCAN-d88f2e8b,,,Alberta,51.2783727017,-112.529346787999,Coal,"""Site Two is located approximately four miles to the south / south-east of the lower preparation plant. At the second site is the shaft and slope openings of Century Coals Ltd. begun in 1954. Structures include buildings (a machine shop apparently still in use) and the shaft hoist structure. A small amount of coal does presently find its way to local markets."" from https://hermis.alberta.ca/ARHP/Details.aspx?DeptID=2&ObjectID=HS%2033696",Inactive,1954–1965,
QC-MINCAN-d89f449a,,Norrie ,Quebec,48.137067,-77.97919,"Gold, Silver","Marban (formerly Marbenor) gold mines, northwestern Quebec",Inactive,1961–1974,
ON-MINCAN-9abb16ea,Calcite Division,Perth,Ontario,45.149689,-76.498756,Calcium Carbonate,,Active,1962–open,
QC-MINCAN-aea232ca,Cupra (Mine Cupra-d'Estrie),Stratford ,Quebec,45.771559,-71.309266,"Copper, Zinc, Silver, Gold, Lead, Cadmium, Bismuth",,Inactive,1965–1977,
YT-MINCAN-d7129b61,,Whitehorse ,Yukon,60.736734030314,-135.083405076298,Copper,The mine was also in operation from 1900 to 1920. //// 25 to 200 workers - unclear unclear see p.65 many fluctuation in employment Source 	ReSDA Atlas Yukon Mine summary cover.pdf (gov.yk.ca) https://emrlibrary.gov.yk.ca/ebooks/Northern%20Research%20Institute/ReSDA-Atlas-Yukon-Mine-summaries.pdf,Inactive,1967–1982,
QC-MINCAN-5d41ed28,Madeleine,Ste. Anne des Monts ,Quebec,49.0,-66.01667,Copper,,Inactive,1969–1976; 1979–1979,
MB-MINCAN-48d72465,Ruttan,Leaf Rapids,Manitoba,56.475,-99.63722222222223,"Copper, Zinc",,Inactive,1973–2001,
QC-MINCAN-06b1f129,Parent Mica Deposit,Suzor,Quebec,47.9384118261258,-74.6346024474106,Mica,"Changed name in Lacana Mines Inc. ""In late 1985, Lacana Mines Inc. of Toronto, Ontario, (now International Corona) purchased the Marietta Suzorite operation. In September 1994, Zemex Corp. of Toronto purchased the company from Whittaker Clark and Daniels of New Jersey. Zemex also controls the Feldspar Corporation in Spruce Pine, North Carolina. "" see p.13 ///////// Suzorite Mica products of Boucherville, Quebec, has maintained profits in the face of this growing competition. Seen as a strong cash generator, the company was purchased by Zemex Corporation from Lacana Inc. in 1993.18 Both of its previous owners (Marietta Resources and Lacana Petroleum) invested heavily in Suzorite's future. In 1985 CDN$14 million dollars was spent on facilities that ultimately produced delaminated HAR (high aspect ratio)mica grades for the plastics industry.19 With capital, proper technical expertise, and aggressive marketing its profitability can be maintained. With mica's use changing from that of a bulk filler to a functional filler, it is no longer subject to falling resin prices. Also, mica becomes a necessity rather than a mineral that can be substituted with cheaper alternatives. Lastly, mica is a necessity in most polypropylene applications.  Polypropylene is poised to dominate the resin market. In October of 1994, ""Modem Plastics  International"" reported that polypropylene is set to capture a large share of the resin market due to its low price. But perhaps the best attribute of polypropylene is its diversity of  applications (Roskill notes that in Europe polypropylene has the fastest growing resin market share). ",Active,1976–open,
QC-MINCAN-227d3d18,Charlevoix,Charlevoix (Saint-Urbain),Quebec,47.7499003009564,-70.6967107601304,Silica,,Active,1977–open,
QC-MINCAN-2d42f581,Bousquet (No. 1 and 2),Cadillac ,Quebec,48.253881,-78.452902,"Gold, Silver, Copper, Zinc",,Inactive,1978–2002,
AB-MINCAN-1f02a2f3,Coal Valley,Edson (Coal Valley),Alberta,53.0468889202999,-116.70986872,Coal,brief suspension of activities between 2020 and 2021,Active,1978–open,
