main_id,facility_name,facility_group_name,facility_group_id,reported_company,company_name_folder,company_id,longitude,latitude,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,primary_commodity,commodities,source_id,geometry
QC-MAIN-5801b453,Abcourt-Barvue,,,Abcourt Mines Inc.,Abcourt Mines Inc,CMP-0a6a3062,-77.67901,48.52154,,Quebec,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, silver",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-77.67901 48.52154)
QC-MAIN-d29e0839,Sleeping Giant,,,Abcourt Mines Inc.,Abcourt Mines Inc,CMP-0a6a3062,-77.97434,49.13259,north of Amos,Quebec,active_facility,,,mining,Concentrator,Precious metals,Gold,"Gold, silver",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-77.97434 49.13259)
QC-MAIN-f1ff4920,Akasaba West,,,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-77.58,48.04,,Quebec,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-77.58 48.04)
NU-MAIN-4ea8ac9d,Amaruq,Meadowbank complex,GRP-0a2c0d69,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-96.697,65.415,Baker Lake,Nunavut,active_facility,,,mining,"Open-pit, underground",Precious metals,Gold,Gold,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-96.697 65.415)
QC-MAIN-e7e6a960,Canadian Malartic,,,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-78.130824,48.122223,Malartic,Quebec,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,"Gold, silver",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-78.130824 48.122223)
ON-MAIN-aeafbb59,Detour Lake,,,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-79.717631,50.018143,Northeast of Cochrane,Ontario,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,Gold,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-79.717631 50.018143)
QC-MAIN-c0660aec,Goldex,,,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-77.8733,48.0926,Val-d’Or,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-77.8733 48.0926)
QC-MAIN-e51eda66,LaRonde,,,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-78.428,48.2516,Preissac,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, zinc, copper, silver, cadmium",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-78.428 48.2516)
ON-MAIN-1f126a43,Macassa,,,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-80.071637,48.142528,Kirkland Lake area,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-80.071637 48.142528)
NU-MAIN-730aefe3,Meadowbank,Meadowbank complex,GRP-0a2c0d69,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-96.071313,65.0199956,Baker Lake,Nunavut,active_facility,,,mining,Concentrator,Precious metals,Gold,Gold,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-96.071313 65.0199956)
