main_id,facility_name,reported_company,longitude,latitude,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,primary_commodity,commodities,source,source_df,geometry
QC-MAIN-5801b453,Abcourt-Barvue,Abcourt Mines Inc.,-77.67901,48.52154,,Quebec,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, silver",,nrcan_critical_df,POINT (-77.67901 48.52154)
QC-MAIN-d29e0839,Sleeping Giant,Abcourt Mines Inc.,-77.97434,49.13259,north of Amos,Quebec,active_facility,,,mining,Concentrator,Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (-77.97434 49.13259)
QC-MAIN-f1ff4920,Akasaba West,Agnico Eagle Mines Limited,-77.58,48.04,,Quebec,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",,nrcan_critical_df,POINT (-77.58 48.04)
NU-MAIN-4ea8ac9d,Amaruq,Agnico Eagle Mines Limited,-96.697,65.415,Baker Lake,Nunavut,active_facility,,,mining,"Open-pit, underground",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-96.697 65.415)
QC-MAIN-e7e6a960,Canadian Malartic,Agnico Eagle Mines Limited,-78.130824,48.122223,Malartic,Quebec,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (-78.130824 48.122223)
ON-MAIN-aeafbb59,Detour Lake,Agnico Eagle Mines Limited,-79.717631,50.018143,Northeast of Cochrane,Ontario,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-79.717631 50.018143)
QC-MAIN-c0660aec,Goldex,Agnico Eagle Mines Limited,-77.8733,48.0926,Val-d’Or,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (-77.8733 48.0926)
QC-MAIN-e51eda66,LaRonde,Agnico Eagle Mines Limited,-78.428,48.2516,Preissac,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, zinc, copper, silver, cadmium",,nrcan_mining_df,POINT (-78.428 48.2516)
ON-MAIN-1f126a43,Macassa,Agnico Eagle Mines Limited,-80.071637,48.142528,Kirkland Lake area,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (-80.071637 48.142528)
NU-MAIN-730aefe3,Meadowbank,Agnico Eagle Mines Limited,-96.071313,65.0199956,Baker Lake,Nunavut,active_facility,,,mining,Concentrator,Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-96.071313 65.0199956)
NU-MAIN-8b0264c9,Meliadine,Agnico Eagle Mines Limited,-92.220206,63.031529,Rankin Inlet,Nunavut,active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-92.220206 63.031529)
MB-MAIN-5d21dbd5,Monument Bay,Agnico Eagle Mines Limited,-92.914016,54.446415,,Manitoba,project_facility,Active,Advanced project,project,,,Gold,"Gold, tungsten",,nrcan_critical_df,POINT (-92.914016 54.446415)
ON-MAIN-74997012,Upper Beaver,Agnico Eagle Mines Limited,-79.76,48.16,,Ontario,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",,nrcan_critical_df,POINT (-79.76 48.16)
ON-MAIN-687b8c8d,Island,Alamos Gold Inc.,-84.449604,48.285667,Dubreuilville,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-84.449604 48.285667)
ON-MAIN-7607a50e,Young-Davidson,Alamos Gold Inc.,-80.67444,47.94667,Matachewan,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-80.67444 47.94667)
QC-MAIN-52c01ae4,Baie-Comeau,Alcoa Corporation,-68.1491,49.2562,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),Aluminum (pure or alloyed),,nrcan_manufacturing_df,POINT (-68.1491 49.2562)
QC-MAIN-eac5a52b,Deschambault,Alcoa Corporation,-71.9467,46.6939,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure),Aluminum (pure),,nrcan_manufacturing_df,POINT (-71.9467 46.6939)
QC-MAIN-81a288d0,Elysis,Alcoa Corporation / Rio Tinto Aluminum Inc.,-71.17565,48.43214,,Quebec,project_facility,Active,Advanced processing project,project,,,Aluminum,Aluminum,,nrcan_critical_df,POINT (-71.17565 48.43214)
QC-MAIN-c8966bdc,Bécancour,Alcoa Corporation and Rio Tinto Aluminum Inc.,-72.3852,46.381,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),Aluminum (pure or alloyed),,nrcan_manufacturing_df,POINT (-72.3852 46.381)
ON-MAIN-eab8c362,Algoma Steel,Algoma Steel Inc.,-84.36664,46.52055,,Ontario,active_facility,,,manufacturing,Basic oxygen furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-84.36664 46.52055)
QC-MAIN-8c7063b2,James Bay Lithium,Allkem Limited,-77.06667,52.23333,,Quebec,project_facility,Active,Advanced project,project,,,Lithium (spodumene),Lithium (spodumene),,nrcan_critical_df,POINT (-77.06667 52.23333)
BC-MAIN-3ef4f421,Avanti Kitsault,Alloycorp Mining Inc.,-129.419,55.422,,British Columbia,project_facility,Active,Advanced project,project,,,Molybdenum,"Molybdenum, silver, lead",,nrcan_critical_df,POINT (-129.419 55.422)
AB-MAIN-9fed34a8,AltaSteel,AltaSteel Inc.,-113.387962,53.492783,,Alberta,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-113.387962 53.492783)
NB-MAIN-9e0c4fb2,AIM Recycling Atlantic,American Iron & Metal Co. Inc.,-66.064603,45.261306,,New Brunswick,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-66.064603 45.261306)
ON-MAIN-9623499f,AIM Recycling Hamilton,American Iron & Metal Co. Inc.,-79.778036,43.259378,,Ontario,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-79.778036 43.259378)
QC-MAIN-abe563b5,AIM Recycling La Prairie,American Iron & Metal Co. Inc.,-73.500867,45.396324,,Quebec,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-73.500867 45.396324)
QC-MAIN-a1159813,AIM Recycling Laval,American Iron & Metal Co. Inc.,-73.644813,45.66641,,Quebec,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-73.644813 45.66641)
QC-MAIN-15d7c629,AIM Recycling Lévis,American Iron & Metal Co. Inc.,-71.177734,46.74789,,Quebec,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-71.177734 46.74789)
QC-MAIN-41bf5ea5,AIM Recycling Montréal-Est,American Iron & Metal Co. Inc.,-73.5522,45.6309,,Quebec,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-73.5522 45.6309)
ON-MAIN-8056a739,AIM Recycling Ottawa East,American Iron & Metal Co. Inc.,-75.606364,45.407485,,Ontario,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-75.606364 45.407485)
QC-MAIN-30ff61c3,Contrecœur-Feruni,ArcelorMittal,-73.260949,45.83316,,Quebec,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-73.260949 45.83316)
QC-MAIN-33c09b8b,Fire Lake,ArcelorMittal,-67.363935,52.352998,Fermont,Quebec,active_facility,,,mining,Open-pit,Iron ore,Iron,Iron,,nrcan_mining_df,POINT (-67.363935 52.352998)
QC-MAIN-084bd95c,Mont-Wright,ArcelorMittal,-67.330058,52.757053,Fermont,Quebec,active_facility,,,mining,"Open-pit, concentrator",Iron ore,Iron,Iron,,nrcan_mining_df,POINT (-67.330058 52.757053)
QC-MAIN-1eee4ace,Contrecœur East,ArcelorMittal Long Products Canada,-73.249081,45.837723,,Quebec,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-73.249081 45.837723)
QC-MAIN-844dcc47,Contrecœur West,ArcelorMittal Long Products Canada,-73.263268,45.819938,,Quebec,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-73.263268 45.819938)
QC-MAIN-e25eed27,Port-Cartier,ArcelorMittal Mining Canada,-66.797531,50.03213,,Quebec,active_facility,,,manufacturing,Pelletizing plant,Iron ore,Iron ore,Iron ore,,nrcan_manufacturing_df,POINT (-66.797531 50.03213)
ON-MAIN-4c35e094,ArcelorMittal Dofasco,ArcelorMittal S.A.,-79.805204,43.269132,,Ontario,active_facility,,,manufacturing,"Basic oxygen furnace, electric arc furnace",Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-79.805204 43.269132)
ON-MAIN-8825d90d,Magino,Argonaut Gold Inc.,-84.45744,48.28869,Timmins,Ontario,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (-84.45744 48.28869)
SK-MAIN-de2e2f8e,Prairie Lithium,Arizona Lithium Ltd,-103.63518,49.21363,,Saskatchewan,project_facility,Active,Advanced unconventional project,project,,,Lithium (brine),Lithium (brine),,nrcan_critical_df,POINT (-103.63518 49.21363)
ON-MAIN-e928d96a,Brampton,Asahi Refining Canada Ltd.,-79.722125,43.691066,,Ontario,active_facility,,,manufacturing,Refinery,Precious metals,Gold,"Gold, silver",,nrcan_manufacturing_df,POINT (-79.722125 43.691066)
NB-MAIN-e55cb3d1,Millstream,Atlantic Potash Corporation,-65.63,45.705,,New Brunswick,project_facility,Active,Advanced project,project,,,Potash,Potash,,nrcan_critical_df,POINT (-65.63 45.705)
NT-MAIN-4f11f183,Nechalacho - Basal Zone,Avalon Advanced Materials Inc.,-112.59972,62.11806,,Northwest Territories,project_facility,Active,Advanced project,project,,,Rare earth elements,"Rare earth elements, niobium, tantalum, zirconium",,nrcan_critical_df,POINT (-112.59972 62.11806)
