reported_company_nrcan,name,main_id,facility_group_id,facility_type,mining_processing_type,commodities_nrcan,deposit,deposit_gr,deposit_type,deposit_mdo,mining_depth,mining_method_mdo,processing_method,source
Pan American Silver Corp,Bell Creek,ON-MAIN-bfbcd72e,-,mining,"Underground, concentrator",Gold,,,,"Veing / narrow vein
Mesothermal",,Longhole stoping,,MDO
Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Iron,,,,Banded iron formation,,Truck & Shovel / Loader,,MDO
Newmont Corporation,Borden,QC-MAIN-6dc537e6,-,mining,"Open-pit, underground",Gold,,,,"Vein / narrow vein
Mesothermal",,Sub-level Retreat,,MDO
Newmont Corporation,Brucejack,ON-MAIN-fefeaee4,-,mining,"Underground, concentrator","Gold, silver",,,,"Breccia pipe / Stockwork
Vein / narrow vein
Epithermal",,"Longhole open stoping
Transverse open stoping
Longitudinal open stoping",,MDO
Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,mining,"Underground, concentrator","Gold, silver",Metamorphic hydrothermal,Orogenic,Mesozonal orogenic Au,Disseminated gold deposit,,"Open pit, conventional truck and shovel; remote-controlled shovels, drills, and dozers used in legacy underground mining areas​","Conventional crushing, grinding, gravity concentration, cyanide leaching, and carbon-in-pulp recovery​",TR_2021
Iron Ore Company of Canada Inc.,Carol Lake,NL-MAIN-dd723db4,-,mining,"Open-pit, concentrator",Iron,,,,Banded iron formation,,Truck & Shovel / Loader,,MDO
Hecla Mining Company,Casa Berardi,YT-MAIN-44857446,-,mining,"Underground, concentrator","Gold, silver",,,,"Breccia pipe / Stockwork
Vein / narrow vein
Banded iron formation hosted",,"Truck & Shovel / Loader
Longhole stoping
Transverse stoping
Longitudinal stoping",,MDO
Vale,Clarabelle,ON-MAIN-de2f9639,GRP-dc07540b,,Concentrator,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",,,,,,,,
Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,-,mining,Underground,Uranium,,,,Unconformity-related,~410–450,"Jet Boring System (JBS), frozen ore","Slurry to McClean Lake mill, acid leach (~99.5% recovery)",TR_2024
Vale,Coleman,ON-MAIN-de2f9639,GRP-dc07540b,mining,Underground,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Magmatic,Ultramafic and (or) mafic intrusion,Impact U-M intrusion Ni-Cu-PGE,"Magmatic
Footwall hosted
Breccia pipe / Stockwork",,"Mechanized Cut & Fill
Post Pillar Cut & Fill
Longitudinal stoping
Transverse stoping
Slot-Slash
Uppers Retreat
Vertical Crater Retreat
Drift & Fill",,MDO
Vale,Copper Cliff Complex,ON-MAIN-f080c409,GRP-dc07540b,mining,Underground,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Magmatic,Ultramafic and (or) mafic intrusion,Impact U-M intrusion Ni-Cu-PGE,,,,,
