prod_id,year,source_name,activity,activity_units,capacity,capacity_units,latitude,longitude,source_id,geometry,main_id
1754055,2023,Coleman Mine,863000.0036928342,t of copper ore,4624000.019786403,tonnes,46.674583,-81.34308,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory",POINT (-81.34308 46.674583),ON-MAIN-6e9b2449
1754056,2023,Copper Cliff Mine,985000.0042148804,t of copper ore,35547000.15210797,tonnes,46.48096,-81.052207,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory",POINT (-81.052207 46.48096),ON-MAIN-63b394c3
1754057,2023,Copper Mountain Mine,14575000.06236739,t of copper ore,367000001.5704173,tonnes,49.331253,-120.521629,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory",POINT (-120.521629 49.331253),BC-MAIN-599152a0
1754058,2023,Creighton Mine,406000.0017373009,t of copper ore,11041000.04724517,tonnes,46.462958,-81.176038,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory",POINT (-81.176038 46.462958),ON-MAIN-52224e1e
1754060,2023,Garson Mine,650000.002781393,t of copper ore,4822000.020633657,tonnes,46.56758,-80.857509,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory",POINT (-80.857509 46.56758),ON-MAIN-48fe2205
1754061,2023,Gibraltar Mine,88100000.37698573,t of copper ore,645000002.7599977,tonnes,52.519137,-122.26926,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory",POINT (-122.26926 52.519137),BC-MAIN-6b4800fe
1754066,2023,Highland Valley Mine,72886000.31188402,t of copper ore,263100001.12582237,tonnes,50.486244,-121.042759,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory",POINT (-121.042759 50.486244),BC-MAIN-bf503b6b
1754067,2023,Horne Mine,0.0,t of copper ore,87879592.9686352,tonnes,48.254296,-79.010706,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory",POINT (-79.010706 48.254296),QC-MAIN-30c1828c
1754077,2023,LaRonde Mine,1501481.0064249367,t of copper ore,19882000.085076395,tonnes,48.249139,-78.441434,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory",POINT (-78.441434 48.249139),QC-MAIN-e51eda66
1754081,2023,McCreedy West Mine,527971.0022592229,t of copper ore,87879592.9686352,tonnes,46.637729,-81.398089,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory",POINT (-81.398089 46.637729),ON-MAIN-7001a391
