substance_id,substance_type,substance_subtype,substance_name,ecoinvent_alias
SUBa2c74fdce8,Air emissions,Stack Emissions,Ammonia (total),Ammonia
SUB526607d180,Air emissions,Stack Emissions,Arsenic (and its compounds),Arsenic
SUB92570cece4,Air emissions,Stack Emissions,Carbon monoxide,"Carbon monoxide, fossil"
SUB075f575023,Air emissions,Stack Emissions,Chromium (and its compounds),Chromium
SUB481f3889a8,Air emissions,Stack Emissions,Cobalt (and its compounds),Cobalt
SUBe2d76f1a18,Air emissions,Stack Emissions,Copper (and its compounds),Copper
SUB146e749e54,Air emissions,Stack Emissions,Cyanides (ionic),-
SUB3fabea90ff,Air emissions,Stack Emissions,Lead (and its compounds),Lead
SUB486408deca,Air emissions,Stack Emissions,Manganese (and its compounds),Manganese
SUBf4fc0ee733,Air emissions,Stack Emissions,Nitric acid,Nitric acid
SUBf8b3bec723,Air emissions,Stack Emissions,Nitrogen oxides (expressed as nitrogen dioxide),Nitrogen oxides
SUBef7489543a,Air emissions,Stack Emissions,Phosphorus (total),Phosphorus
SUBe03cb2036b,Air emissions,Stack Emissions,PM10 - Particulate Matter <= 10 Micrometers,-
SUB2854842b0a,Air emissions,Stack Emissions,PM2.5 - Particulate Matter <= 2.5 Micrometers,"Particulates, < 2.5 um"
SUB5b015bc855,Air emissions,Stack Emissions,Thallium (and its compounds),Thallium
SUB3887e7a1e8,Air emissions,Stack Emissions,Total particulate matter,-
SUB3b575d259e,Air emissions,Stack Emissions,Vanadium (and its compounds),Vanadium
SUB5fcbce88fa,Air emissions,Stack Emissions,Zinc (and its compounds),Zinc
SUB4ba617557c,Air emissions,Stack Emissions,Dioxins and furans - total,-
SUB9bcea7550f,Air emissions,Stack Emissions,Hexachlorobenzene,"Benzene, hexachloro-"
SUB7d18deeed2,Air emissions,Stack Emissions,Volatile Organic Compounds (Total),
SUBed09c9e117,Air emissions,Stack Emissions,Cadmium (and its compounds),Cadmium
SUBf06f6556b1,Air emissions,Stack Emissions,Hydrochloric acid,-
SUB35124c7c82,Air emissions,Stack Emissions,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUBbb47b07d72,Air emissions,Stack Emissions,Selenium (and its compounds),Selenium
SUBe45b89bcf1,Air emissions,Stack Emissions,Antimony (and its compounds),Antimony
SUB4dbf5eeca2,Air emissions,Stack Emissions,Carbon disulphide,Carbon disulfide
SUB0fcde8676f,Air emissions,Stack Emissions,Mercury (and its compounds),Mercury
SUB6be1f0a147,Air emissions,Stack Emissions,Nitrate ion in solution at pH >= 6.0,Nitrate
SUB041b4d48bf,Air emissions,Stack Emissions,Silver (and its compounds),Silver
SUBe74a20d682,Air emissions,Stack Emissions,Total reduced sulphur (expressed as hydrogen sulphide),-
SUB1125f1ed6a,Air emissions,Stack Emissions,Acetaldehyde,Acetaldehyde
SUB014d8d3b59,Air emissions,Stack Emissions,Fluoranthene,Fluoranthene
SUBdc84a0200f,Air emissions,Stack Emissions,Hydrogen fluoride,-
SUBfa5f4bce48,Air emissions,Stack Emissions,Hydrogen sulphide,-
SUB17eff7d0ac,Air emissions,Stack Emissions,"PAHs, total unspeciated","Hydrocarbons, aromatic"
SUB085d21e4ab,Air emissions,Stack Emissions,Phenanthrene,Phenanthrene
SUBefa273ff6f,Air emissions,Stack Emissions,Pyrene,Pyrene
SUB9e6bf47cb3,Air emissions,Stack Emissions,Sulphur dioxide,Sulfur dioxide
SUBbb6e624b71,Air emissions,Stack Emissions,Sulphuric acid,Sulfuric acid
SUBe1ac775009,Air emissions,Stack Emissions,Aluminum (fume or dust only),Aluminium
SUB49a0810417,Air emissions,Stack Emissions,Acenaphthylene,Acenaphthylene
SUBd97687eecd,Air emissions,Stack Emissions,Fluorene,Fluorene
SUB6a4e9e74bb,Air emissions,Stack Emissions,i-Butyl alcohol,2-Methyl-1-propanol
SUB284e5949a4,Air emissions,Stack Emissions,1-Nitropyrene,-
SUB690eddf395,Air emissions,Stack Emissions,Methanol,Methanol
SUBeb5e5795c0,Air emissions,Stack Emissions,Quinoline,-
SUBcf4bf0be76,Air emissions,Stack Emissions,Acenaphthene,Acenaphthene
SUB79e82a4574,Air emissions,Stack Emissions,Anthracene,Anthracene
SUBda904ba47a,Air emissions,Stack Emissions,Benz[a]anthracene,Benz(a)anthracene
SUB5419baacd5,Air emissions,Stack Emissions,Benzo[a]pyrene,Benzo(a)pyrene
SUB65309c151e,Air emissions,Stack Emissions,Benzo[b]fluoranthene,Benzo(b)fluoranthene
SUB2dbdd9ae1c,Air emissions,Stack Emissions,Benzo[ghi]perylene,Benzo(ghi)perylene
SUB8a08154430,Air emissions,Stack Emissions,Benzo[k]fluoranthene,Benzo(k)fluoranthene
SUBdb3a0f6358,Air emissions,Stack Emissions,"Dibenz[a,h]anthracene","Dibenz(a,h)anthracene"
SUBfda7a8fa86,Air emissions,Stack Emissions,"Indeno[1,2,3-cd]pyrene","Indeno(1,2,3-cd)pyrene"
SUB14581d407b,Air emissions,Stack Emissions,Hydrogen cyanide,-
SUB4c391ff2ae,Air emissions,Stack Emissions,Formic acid,Formic acid
SUBc5bb14ff9f,Air emissions,Storage / Handling,PM10 - Particulate Matter <= 10 Micrometers,-
SUB301870900b,Air emissions,Storage / Handling,PM2.5 - Particulate Matter <= 2.5 Micrometers,"Particulates, < 2.5 um"
SUBcb3c5817f7,Air emissions,Storage / Handling,Total particulate matter,-
SUB3c558fcfdd,Air emissions,Storage / Handling,Aluminum (fume or dust only),Aluminium
SUB0b754b3250,Air emissions,Storage / Handling,Arsenic (and its compounds),Arsenic
SUB576fe035f1,Air emissions,Storage / Handling,Cadmium (and its compounds),Cadmium
SUB2a0a5e8338,Air emissions,Storage / Handling,Cobalt (and its compounds),Cobalt
SUBc0a2f126c4,Air emissions,Storage / Handling,Lead (and its compounds),Lead
SUB662435ddc3,Air emissions,Storage / Handling,Manganese (and its compounds),Manganese
SUB7a6ed35bf7,Air emissions,Storage / Handling,Mercury (and its compounds),Mercury
SUB5bcf9730de,Air emissions,Storage / Handling,Selenium (and its compounds),Selenium
SUBf1f897d8c8,Air emissions,Storage / Handling,Thallium (and its compounds),Thallium
SUB6198d2952c,Air emissions,Storage / Handling,Volatile Organic Compounds (Total),
SUBa9ef491d80,Air emissions,Storage / Handling,Carbon monoxide,"Carbon monoxide, fossil"
