main_id,tailing_id,distance_m,facility_name,related_mine,similarity_partial_score,similarity_token_set
QC-MAIN-5801b453,,,Abcourt-Barvue,,,
QC-MAIN-d29e0839,,,Sleeping Giant,,,
QC-MAIN-f1ff4920,16.0,19671.85,Akasaba West,Goldex,22.22222222222222,11.111111111111114
QC-MAIN-f1ff4920,695.0,10445.87,Akasaba West,Louvicourt,18.181818181818176,9.090909090909093
QC-MAIN-f1ff4920,1313.0,10460.72,Akasaba West,Louvicourt,18.181818181818176,9.090909090909093
NU-MAIN-4ea8ac9d,,,Amaruq,,,
QC-MAIN-e7e6a960,221.0,9863.78,Canadian Malartic,Bousquet ,16.666666666666664,8.0
QC-MAIN-e7e6a960,19.0,3128.44,Canadian Malartic,Canadian Malartic,100.0,100.0
QC-MAIN-e7e6a960,1243.0,2365.54,Canadian Malartic,Canadian Malartic,100.0,100.0
ON-MAIN-aeafbb59,1524.0,1075.98,Detour Lake,Detour Lake mine,100.0,100.0
QC-MAIN-c0660aec,16.0,4870.17,Goldex,Goldex,100.0,100.0
QC-MAIN-c0660aec,221.0,9665.23,Goldex,Bousquet ,33.333333333333336,28.57142857142857
QC-MAIN-c0660aec,19.0,16461.78,Goldex,Canadian Malartic,18.181818181818176,8.695652173913047
QC-MAIN-c0660aec,1243.0,17341.7,Goldex,Canadian Malartic,18.181818181818176,8.695652173913047
QC-MAIN-e51eda66,23.0,1042.77,LaRonde,Laronde,85.71428571428572,85.71428571428571
QC-MAIN-e51eda66,24.0,2069.61,LaRonde,Laronde,85.71428571428572,85.71428571428571
QC-MAIN-e51eda66,222.0,7869.18,LaRonde,Cadillac Molybdenite,42.85714285714286,29.629629629629633
QC-MAIN-e51eda66,1544.0,9393.97,LaRonde,Westwood Gold Mine,44.44444444444444,24.0
ON-MAIN-1f126a43,,,Macassa,,,
NU-MAIN-730aefe3,12.0,1290.1,Meadowbank,Meadowbank,100.0,100.0
NU-MAIN-730aefe3,13.0,1858.98,Meadowbank,Meadowbank,100.0,100.0
NU-MAIN-730aefe3,14.0,2639.61,Meadowbank,Meadowbank,100.0,100.0
NU-MAIN-8b0264c9,15.0,4087.98,Meliadine,Meliadine,100.0,100.0
MB-MAIN-5d21dbd5,,,Monument Bay,,,
ON-MAIN-74997012,,,Upper Beaver,,,
ON-MAIN-687b8c8d,1656.0,2518.15,Island,Island Gold Mine,100.0,100.0
ON-MAIN-687b8c8d,1657.0,2518.15,Island,Island Gold Mine,100.0,100.0
ON-MAIN-687b8c8d,1658.0,2518.15,Island,Island Gold Mine,100.0,100.0
ON-MAIN-687b8c8d,1659.0,2518.15,Island,Island Gold Mine,100.0,100.0
ON-MAIN-687b8c8d,1660.0,2518.15,Island,Island Gold Mine,100.0,100.0
ON-MAIN-7607a50e,1652.0,2878.3,Young-Davidson,Young-Davidson Mine,100.0,100.0
ON-MAIN-7607a50e,1653.0,2878.3,Young-Davidson,Young-Davidson Mine,100.0,100.0
ON-MAIN-7607a50e,1654.0,2878.3,Young-Davidson,Young-Davidson Mine,100.0,100.0
