x,y,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code,country_iso3_code,erml_commodity,concat_figure_notes_text,year,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity
-119.677633,59.205383999999995,Mine production of platinum group metals,113,kilograms (metal content),Production,"platinum group metals, mine",1|2|3,Canada,Platinum,"Figures for metal production are only given for countries where recovery is thought to be based predominantly on domestic materials or on imported materials which have not been recorded as mine production elsewhere in the table|In addition to the countries listed, Bulgaria, China, Ethiopia, Indonesia and Philippines are believed to produce platinum group metals|Wherever possible, figures relate to quantities of platinum group metals thought to be recovered from ores originating in the country stated",CA,Platinum group metals,,CAN,"Platinum group metals (mine production, metal content)",,2000-01-01,-119.677633,Ores and concentates (Platinum content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum,113,6000
-119.677633,59.205383999999995,Production of magnesite,87,tonnes (metric),Production,magnesite,1,Canada,,"In addition to the countries listed, Bulgaria is believed to produce magnesite",CA,Magnesite,*|b,CAN,Magnesite and magnesia,Estimates.|Officially described as magnesitic dolomite and brucite.,2000-01-01,-119.677633,Magnesite,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesite,87,165000
-119.677633,59.205383999999995,Production of nepheline syenite,164,tonnes (metric),Production,nepheline syenite,,Canada,,,CA,Nepheline syenite,,CAN,Nepheline syenite,,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/nepheline-syenite,164,721000
-119.677633,59.205383999999995,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,1,Canada,,"In addition to the countries listed, Indonesia is believed to produce phosphate rock",CA,Phosphate rock,,CAN,Phosphate rock,,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,486000
-119.677633,59.205383999999995,Production of ferro-alloys,74,tonnes (metric),Production,ferro-alloys,,Canada,Ferro-niobium,,CA,,,CAN,,,2000-01-01,-119.677633,,59.205384,,74,3300
-119.677633,59.205383999999995,Production of iron ore,71,tonnes (metric),Production,iron ore,,Canada,,,CA,Iron and steel,g,CAN,Iron ore,Including by-product iron ore.,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/iron-ore,69,36740000
-119.677633,59.205383999999995,Production of cadmium,29,tonnes (metric),Production,cadmium,1,Canada,,Data in this table excludes secondary metal unless otherwise stated,CA,Cadmium,a,CAN,Cadmium,Including cadmium sponge and/or secondary metal.,2000-01-01,-119.677633,Metal,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/cadmium,27,1941
-119.677633,59.205383999999995,Production of lithium minerals,84,tonnes (metric),Production,lithium minerals,1,Canada,,"In addition to the countries listed, Russia also produces lithium minerals",CA,Lithium,*,CAN,Lithium minerals,Estimates.,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,22500
-119.677633,59.205383999999995,Mine production of nickel,102,tonnes (metal content),Production,"nickel, mine",,Canada,,,CA,Nickel,,CAN,"Nickel (mine production, metal content)",,2000-01-01,-119.677633,Ores and concentates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,102,190793
-119.677633,59.205383999999995,Production of alumina,2,tonnes (Al2O3 content),Production,alumina,1,Canada,,"Where possible figures in this table show the alumina equivalent (Al2O3) of total hydrate produced, whether or not calcined",CA,"Bauxite, alumina and aluminium",,CAN,Alumina,,2000-01-01,-119.677633,Alumina,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/alumina,2,1197400
-119.677633,59.205383999999995,Mine production of lead,80,tonnes (metal content),Production,"lead, mine",,Canada,,,CA,Lead,,CAN,"Lead (mine production, metal content)",,2000-01-01,-119.677633,ore and concentrates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/lead,80,148769
-119.677633,59.205383999999995,Production of titanium minerals,144,tonnes (metric),Production,titanium minerals,1|2,Canada,Ilmenite,"Some ilmenite is converted to synthetic rutile in Australia, India, Japan, Taiwan and USA|The figures in this table refer to gross tonnage of titanium concentrates",CA,Titanium,#|*|a|b,CAN,Titanium minerals,"Break in series.|Estimates.|Canada produces some ilmenite which is sold as such and not processed into slag, but tonnages are small.|It is believed that the majority of this is processed into slag.",2000-01-01,-119.677633,Ilmenite,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/ilmenite,144,2100000
